PackageName,Dataset,Title,Rows,Columns,Description,TimeStamp,RawData,ZippedData
NCUWiseLab,ARI_G2F820,Data [ARI_G2F820] of [NCUWiseLab],5832,19,,2023-02-15,data/raw/ARI_G2F820_202201-08_20230206.csv,data/NCUWiseLab/ARI_G2F820.gz
NCUWiseLab,Huashan,Data [Huashan] of [NCUWiseLab],17520,12,,2023-03-29,data/raw/Huashan2018-2019.csv,data/NCUWiseLab/Huashan.gz
NCUWiseLab,Jiufenershan,Data [Jiufenershan] of [NCUWiseLab],17520,12,,2023-03-30,data/raw/Jiufenershan2018-2019.csv,data/NCUWiseLab/Jiufenershan.gz
NCUWiseLab,Dacuken,Data [Dacuken] of [NCUWiseLab],17520,12,,2023-03-30,data/raw/Dacuken2014-2015.csv,data/NCUWiseLab/Dacuken.gz
